City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Mahajanga,MG,78.82,scattered clouds,-15.7167,46.3167,
624,Lagos,NG,84.18,light rain,6.5833,3.75,
625,Gamba,GA,76.96,overcast clouds,-2.65,10.0,
626,Binika,IN,78.19,overcast clouds,21.0333,83.8,
630,Pahrump,US,76.17,clear sky,36.2083,-115.9839,
633,Labuhan,ID,81.19,scattered clouds,-6.8844,112.2051,
634,Le Vauclin,MQ,89.65,clear sky,14.5452,-60.8388,
639,Lamu,KE,80.82,broken clouds,-2.2717,40.902,
642,Carutapera,BR,88.27,broken clouds,-1.195,-46.02,
643,Pangkalanbuun,ID,75.33,broken clouds,-2.6833,111.6167,
647,Birmitrapur,IN,78.37,overcast clouds,22.4,84.7667,
654,Hami,CN,79.39,scattered clouds,42.8,93.45,
658,Bintulu,MY,77.41,few clouds,3.1667,113.0333,
661,Kudahuvadhoo,MV,83.59,few clouds,2.6708,72.8944,
662,Nimaparha,IN,81.0,overcast clouds,20.0667,86.0167,
665,Mlalo,TZ,76.69,broken clouds,-4.9333,38.9333,
666,Agropoli,IT,79.09,broken clouds,40.3469,14.9966,
667,Karratha,AU,84.27,broken clouds,-20.7377,116.8463,
670,Black River,JM,87.8,clear sky,18.0264,-77.8487,
671,Ranot,TH,78.62,overcast clouds,7.7777,100.3213,
672,Mantua,IT,77.05,few clouds,45.1667,10.7833,
673,Balikpapan,ID,76.5,overcast clouds,-1.2675,116.8289,
678,Daru,PG,76.78,overcast clouds,-9.0763,143.2092,
679,Dayong,CN,83.88,broken clouds,25.0209,118.2898,
