City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Sao Paulo De Olivenca,-3.3783,-68.8725,72.09,98,44,0.74,BR,2021-09-15 04:35:17
68,Yar-Sale,66.8333,70.8333,45.37,86,100,10.98,RU,2021-09-15 04:35:17
69,Padang,-0.9492,100.3543,87.85,66,97,5.68,ID,2021-09-15 04:35:17
70,Nueva Gerona,21.8833,-82.8,81.7,75,100,3.78,CU,2021-09-15 04:35:17
71,Kodiak,57.79,-152.4072,51.31,58,1,3.44,US,2021-09-15 04:35:18
72,Jalu,29.0331,21.5482,72.41,44,0,7.18,LY,2021-09-15 04:35:18
73,Talara,-4.5772,-81.2719,64.56,83,58,16.24,PE,2021-09-15 04:35:18
74,Abu Dhabi,24.4667,54.3667,89.71,84,20,6.91,AE,2021-09-15 04:35:18
75,Port Moresby,-9.4431,147.1797,87.22,62,40,17.27,PG,2021-09-15 04:35:19
76,Hithadhoo,-0.6,73.0833,84.02,72,27,9.46,MV,2021-09-15 04:35:19
77,New Norfolk,-42.7826,147.0587,56.88,53,96,1.99,AU,2021-09-15 04:35:19
78,Alta Floresta,-9.8756,-56.0861,72.79,80,9,0.85,BR,2021-09-15 04:35:20
79,Nabire,-3.3667,135.4833,86.81,64,55,6.11,ID,2021-09-15 04:35:20
80,Upernavik,72.7868,-56.1549,26.91,78,86,6.38,GL,2021-09-15 04:35:20
81,Longyearbyen,78.2186,15.6401,33.64,80,75,3.44,SJ,2021-09-15 04:35:20
82,Mabaruma,8.2,-59.7833,74.41,97,12,3.0,GY,2021-09-15 04:35:21
83,Kiruna,67.8557,20.2251,34.72,100,0,0.0,SE,2021-09-15 04:35:21
84,Deputatskiy,69.3,139.9,51.71,54,36,2.33,RU,2021-09-15 04:35:21
85,Cabedelo,-6.9811,-34.8339,75.87,85,7,10.11,BR,2021-09-15 04:35:21
86,Asau,46.4333,26.4,61.75,94,3,2.17,RO,2021-09-15 04:35:22
87,Narsaq,60.9167,-46.05,34.02,53,5,5.55,GL,2021-09-15 04:35:22
88,Provideniya,64.3833,-173.3,42.91,75,90,4.47,RU,2021-09-15 04:35:22
89,Vostok,46.4856,135.8833,64.02,39,2,3.89,RU,2021-09-15 04:35:22
90,Suez,29.9737,32.5263,77.49,65,0,7.99,EG,2021-09-15 04:35:23
91,Atuona,-9.8,-139.0333,77.61,79,7,20.51,PF,2021-09-15 04:35:23
92,Aksu,41.1231,80.2644,77.9,32,43,4.05,CN,2021-09-15 04:35:23
93,East London,-33.0153,27.9116,59.94,77,40,17.27,ZA,2021-09-15 04:35:23
94,Port Hardy,50.6996,-127.4199,50.18,87,75,5.75,CA,2021-09-15 04:35:24
95,Barra Dos Coqueiros,-10.9089,-37.0386,77.02,83,75,10.36,BR,2021-09-15 04:35:24
96,Bambous Virieux,-20.3428,57.7575,74.21,100,40,4.61,MU,2021-09-15 04:35:24
97,Pemberton,50.3164,-122.8027,55.26,98,99,5.53,CA,2021-09-15 04:30:35
98,Chokurdakh,70.6333,147.9167,40.59,61,94,8.86,RU,2021-09-15 04:35:25
99,Naze,28.3667,129.4833,86.92,75,90,17.65,JP,2021-09-15 04:35:25
100,Lohardaga,23.4333,84.6833,73.26,77,97,14.81,IN,2021-09-15 04:35:25
101,Wilkie,52.4168,-108.7014,51.89,62,100,8.88,CA,2021-09-15 04:35:25
102,Tuktoyaktuk,69.4541,-133.0374,39.2,93,20,5.75,CA,2021-09-15 04:35:26
103,Walvis Bay,-22.9575,14.5053,49.08,87,0,4.61,NA,2021-09-15 04:35:26
104,Yumen,40.2833,97.2,74.16,24,0,8.21,CN,2021-09-15 04:35:26
